"","originCountry","exchangeRate"
"1","USD","1"
"2","EUR","1.195826"
"3","INR","0.01562"
"4","GBP","1.324188"
"5","BRL","0.32135"
"6","RUB","0.017402"
"7","CAD","0.823688"
"8","AUD","0.80231"
"9","JPY","0.009108"
"10","CNY","0.153"
"11","PLN","0.281104"
"12","SGD","0.742589"
"13","ZAR","0.077002"
"14","CHF","1.043382"
"15","MXN","0.056414"
"16","TWD","0.033304"
"17","COP","0.000342"
"18","PKR","0.009476"
"19","TRY","0.29178"
"20","DKK","0.16073"
"21","IDR","7.6e-05"
"22","KRW","0.000886"
"23","PHP","0.019637"
"24","IRR","3e-05"
"25","SEK","0.125204"
"26","HUF","0.003896"
"27","NZD","0.727801"
"28","CZK","0.04582"
"29","ILS","0.282974"
"30","ARS","0.058444"
"31","HKD","0.127998"
"32","NGN","0.002788"
"33","NOK","0.127502"
"34","CLP","0.001606"
"35","MYR","0.237786"
"36","AED","0.272256"
"37","KES","0.009726"
"38","LKR","0.006536"
"39","EGP","0.056656"
"40","THB","0.030192"
"41","UAH","0.038368"
"42","ALL","0.008956"
"43","RON","0.259964"
"44","MAD","0.107076"
"45","RSD","0.01002"
"46","AMD","0.00209"
"47","BDT","0.012162"
"48","PEN","0.308962"
"49","UGX","0.000278"
"50","VND","4.4e-05"
"51","XOF","0.001823"
"52","HRK","0.160606"
"53","NPR","0.009754"
"54","BGN","0.611395"
"55","ETB","0.042395"
"56","KZT","0.002948"
"57","TND","0.410899"
"58","AFN","0.01457"
"59","BHD","2.652053"
"60","BIF","0.000572"
"61","BSD","0.998112"
"62","DOP","0.02095"
"63","GTQ","0.136926"
"64","IQD","0.00085"
"65","SDG","0.149504"
"66","TTD","0.147376"
"67","VEF","0.09987"
"68","AZN","0.588352"
"69","BAM","0.611383"
"70","BYN","0.518071"
"71","CRC","0.001726"
"72","CUP","0.04"
"73","DZD","0.009006"
"74","GHS","0.22571"
"75","ISK","0.009393"
"76","JOD","1.41062"
"77","MGA","0.000338"
"78","MUR","0.030142"
"79","OMR","2.597362"
"80","PAB","1"
"81","SAR","0.266654"
"82","SVC","0.114124"
"83","SZL","0.077002"
"84","UYU","0.034642"
"85","XAF","0.001823"
"86","YER","0.003996"
